show_key,movie,show_date,start_time,hall,version,language,source_id,source,first_seen_at
2026-08-18|09:45|imax 激光厅|imax2d,奥德赛,2026-08-18,09:45,IMAX 激光厅,IMAX2D,英语,202608180002678,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-18|13:00|imax 激光厅|imax2d,奥德赛,2026-08-18,13:00,IMAX 激光厅,IMAX2D,英语,202608180002677,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-18|16:15|imax 激光厅|imax2d,奥德赛,2026-08-18,16:15,IMAX 激光厅,IMAX2D,英语,202608180002675,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-18|19:30|imax 激光厅|imax2d,奥德赛,2026-08-18,19:30,IMAX 激光厅,IMAX2D,英语,202608180002676,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-18|22:45|imax 激光厅|imax2d,奥德赛,2026-08-18,22:45,IMAX 激光厅,IMAX2D,英语,202608180002674,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-19|09:45|imax 激光厅|imax2d,奥德赛,2026-08-19,09:45,IMAX 激光厅,IMAX2D,英语,202608190019182,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-19|13:00|imax 激光厅|imax2d,奥德赛,2026-08-19,13:00,IMAX 激光厅,IMAX2D,英语,202608190019183,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-19|16:15|imax 激光厅|imax2d,奥德赛,2026-08-19,16:15,IMAX 激光厅,IMAX2D,英语,202608190019181,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-19|19:30|imax 激光厅|imax2d,奥德赛,2026-08-19,19:30,IMAX 激光厅,IMAX2D,英语,202608190019184,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-19|22:45|imax 激光厅|imax2d,奥德赛,2026-08-19,22:45,IMAX 激光厅,IMAX2D,英语,202608190019185,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-20|09:45|imax 激光厅|imax2d,奥德赛,2026-08-20,09:45,IMAX 激光厅,IMAX2D,英语,202608200015413,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-20|13:00|imax 激光厅|imax2d,奥德赛,2026-08-20,13:00,IMAX 激光厅,IMAX2D,英语,202608200015414,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-20|16:15|imax 激光厅|imax2d,奥德赛,2026-08-20,16:15,IMAX 激光厅,IMAX2D,英语,202608200015475,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-20|19:30|imax 激光厅|imax2d,奥德赛,2026-08-20,19:30,IMAX 激光厅,IMAX2D,英语,202608200015476,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-20|22:45|imax 激光厅|imax2d,奥德赛,2026-08-20,22:45,IMAX 激光厅,IMAX2D,英语,202608200015415,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-21|09:45|imax 激光厅|imax2d,奥德赛,2026-08-21,09:45,IMAX 激光厅,IMAX2D,英语,202608210044016,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-21|13:00|imax 激光厅|imax2d,奥德赛,2026-08-21,13:00,IMAX 激光厅,IMAX2D,英语,202608210044012,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-21|16:15|imax 激光厅|imax2d,奥德赛,2026-08-21,16:15,IMAX 激光厅,IMAX2D,英语,202608210044015,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-21|19:30|imax 激光厅|imax2d,奥德赛,2026-08-21,19:30,IMAX 激光厅,IMAX2D,英语,202608210044013,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-21|22:45|imax 激光厅|imax2d,奥德赛,2026-08-21,22:45,IMAX 激光厅,IMAX2D,英语,202608210044014,maoyan-mobile-json,2026-08-18T00:29:00+08:00
2026-08-22|09:45|imax 激光厅|imax2d,奥德赛,2026-08-22,09:45,IMAX 激光厅,IMAX2D,英语,202608220053332,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-22|13:00|imax 激光厅|imax2d,奥德赛,2026-08-22,13:00,IMAX 激光厅,IMAX2D,英语,202608220053333,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-22|16:20|imax 激光厅|imax2d,奥德赛,2026-08-22,16:20,IMAX 激光厅,IMAX2D,英语,202608220053334,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-22|19:40|imax 激光厅|imax2d,奥德赛,2026-08-22,19:40,IMAX 激光厅,IMAX2D,英语,202608220053331,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-22|22:55|imax 激光厅|imax2d,奥德赛,2026-08-22,22:55,IMAX 激光厅,IMAX2D,英语,202608220053330,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-23|09:45|imax 激光厅|imax2d,奥德赛,2026-08-23,09:45,IMAX 激光厅,IMAX2D,英语,202608230032126,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-23|13:00|imax 激光厅|imax2d,奥德赛,2026-08-23,13:00,IMAX 激光厅,IMAX2D,英语,202608230032127,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-23|16:15|imax 激光厅|imax2d,奥德赛,2026-08-23,16:15,IMAX 激光厅,IMAX2D,英语,202608230032129,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-23|19:30|imax 激光厅|imax2d,奥德赛,2026-08-23,19:30,IMAX 激光厅,IMAX2D,英语,202608230032128,maoyan-mobile-json,2026-08-18T14:58:15+08:00
2026-08-23|22:45|imax 激光厅|imax2d,奥德赛,2026-08-23,22:45,IMAX 激光厅,IMAX2D,英语,202608230032125,maoyan-mobile-json,2026-08-18T14:58:15+08:00
